id,imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj
135397,tt0369610,32.985763,150000000,Jurassic World,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson",http://www.jurassicworld.com/,Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","Action,Adventure,Science Fiction,Thriller",1392445892.52
76341,tt1392190,28.419936,150000000,Mad Max: Fury Road,"Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman",http://www.madmaxmovie.com/,George Miller,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","Action,Adventure,Science Fiction,Thriller",348161292.49
262500,tt2908446,13.112507,110000000,Insurgent,"Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller",http://www.thedivergentseries.movie/#insurgent,Robert Schwentke,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,"Adventure,Science Fiction,Thriller",271619025.41
140607,tt2488496,11.173104,200000000,Star Wars: The Force Awakens,"Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley",http://www.starwars.com/films/star-wars-episode-vii,J.J. Abrams,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","Action,Adventure,Science Fiction,Fantasy",1902723129.80
168259,tt2820852,9.335014,190000000,Furious 7,"Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson",http://www.furious7.com/,James Wan,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action,Crime,Thriller",1385748801.47
281957,tt1663202,9.1107,135000000,The Revenant,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson",http://www.foxmovies.com/movies/the-revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","Western,Drama,Adventure,Thriller",490314247.02
87101,tt1340138,8.654359,155000000,Terminator Genisys,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons",http://www.terminatormovie.com/,Alan Taylor,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","Science Fiction,Action,Thriller,Adventure",405355075.68
286217,tt3659388,7.6674,108000000,The Martian,"Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÃ±a",http://www.foxmovies.com/movies/the-martian,Ridley Scott,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","Drama,Adventure,Science Fiction",547749654.31
211672,tt2293640,7.40416499999999,74000000,Minions,"Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan",http://www.minionsmovie.com/,Kyle Balda|Pierre Coffin,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Family,Animation,Adventure,Comedy",1064192016.80
150540,tt2096673,6.326804,175000000,Inside Out,"Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black",http://movies.disney.com/inside-out,Pete Docter,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","Comedy,Animation,Family",785411574.70
