movie_id,certificate,runtime,rating,votes
tt1825683,PG-13,134 min,7.3,785813.0
tt0092099,PG,109 min,6.9,461419.0
tt0499549,PG-13,162 min,7.9,1322694.0
tt1392170,PG-13,142 min,7.2,927499.0
tt1160419,PG-13,155 min,8.0,649342.0
tt0120737,PG-13,178 min,8.8,1889727.0
tt0468569,PG-13,152 min,9.0,2675531.0
tt1375666,PG-13,148 min,8.8,2373682.0
tt10872600,PG-13,148 min,8.2,770492.0
tt0172495,R,155 min,8.5,1512747.0
tt4154796,PG-13,181 min,8.4,1148100.0
tt2911666,R,101 min,7.4,644257.0
tt8367814,R,113 min,7.8,348209.0
tt1856101,R,164 min,8.0,586274.0
tt5433138,PG-13,143 min,5.2,136715.0
tt7888964,R,92 min,7.4,262223.0
tt0133093,R,136 min,8.7,1928021.0
tt0082971,PG,115 min,8.4,974011.0
tt0116629,PG-13,145 min,7.0,580884.0
tt0446029,PG-13,112 min,7.5,433481.0
tt0232500,PG-13,106 min,6.8,391178.0
tt0115624,R,98 min,3.5,29765.0
tt2382320,PG-13,163 min,7.3,409290.0
tt6723592,PG-13,150 min,7.3,516824.0
tt0113277,R,170 min,8.3,662373.0
tt6334354,R,132 min,7.2,359784.0
tt0120616,PG-13,124 min,7.1,436705.0
tt5013056,PG-13,106 min,7.8,669727.0
tt0107290,PG-13,127 min,8.2,998360.0
tt4649466,R,141 min,6.7,334948.0
tt0096446,PG,126 min,7.2,125340.0
tt0478970,PG-13,117 min,7.3,675514.0
tt1631867,PG-13,113 min,7.9,687691.0
tt0167260,PG-13,201 min,9.0,1860374.0
tt1951264,PG-13,146 min,7.5,672299.0
tt1950186,PG-13,152 min,8.1,403646.0
tt9032400,PG-13,156 min,6.3,348052.0
tt2015381,PG-13,121 min,8.0,1189915.0
tt0110413,R,110 min,8.5,1171574.0
tt1392190,R,120 min,8.1,1013606.0
tt0098206,R,114 min,6.6,77537.0
tt6264654,PG-13,115 min,7.1,377893.0
tt0076759,PG,121 min,8.6,1374568.0
tt8579674,R,119 min,8.2,603093.0
tt0113189,PG-13,130 min,7.2,260551.0
tt3397884,R,121 min,7.6,437874.0
tt1386697,PG-13,123 min,5.9,692080.0
