imdb_id,popularity,budget,original_title,cast,homepage,director,overview,genres,revenue_adj,certificate,runtime,rating,votes
tt0369610,32.985763,150000000,Jurassic World,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson",http://www.jurassicworld.com/,Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","Action,Adventure,Science Fiction,Thriller",1392445892.52,PG-13,124 min,6.9,649327.0
tt1392190,28.419936,150000000,Mad Max: Fury Road,"Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman",http://www.madmaxmovie.com/,George Miller,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","Action,Adventure,Science Fiction,Thriller",348161292.49,R,120 min,8.1,1013606.0
tt2908446,13.112507,110000000,Insurgent,"Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller",http://www.thedivergentseries.movie/#insurgent,Robert Schwentke,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,"Adventure,Science Fiction,Thriller",271619025.41,PG-13,119 min,6.2,242031.0
tt2488496,11.173104,200000000,Star Wars: The Force Awakens,"Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley",http://www.starwars.com/films/star-wars-episode-vii,J.J. Abrams,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.","Action,Adventure,Science Fiction,Fantasy",1902723129.80,PG-13,138 min,7.8,937714.0
tt2820852,9.335014,190000000,Furious 7,"Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson",http://www.furious7.com/,James Wan,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action,Crime,Thriller",1385748801.47,PG-13,137 min,7.1,394578.0
tt1663202,9.1107,135000000,The Revenant,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson",http://www.foxmovies.com/movies/the-revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.","Western,Drama,Adventure,Thriller",490314247.02,R,156 min,8.0,814804.0
tt1340138,8.654359,155000000,Terminator Genisys,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons",http://www.terminatormovie.com/,Alan Taylor,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.","Science Fiction,Action,Thriller,Adventure",405355075.68,PG-13,126 min,6.3,281561.0
tt2379713,6.200282,245000000,Spectre,"Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci",http://www.sonypictures.com/movies/spectre/,Sam Mendes,"A cryptic message from Bondâ€™s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Action,Adventure,Crime",810220283.78,PG-13,148 min,6.8,446089.0
tt1617661,6.189369,176000003,Jupiter Ascending,"Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth",http://www.jupiterascending.com,Lana Wachowski|Lilly Wachowski,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦","Science Fiction,Fantasy,Action,Adventure",169268630.68,PG-13,127 min,5.3,190166.0
tt2120120,5.984995,88000000,Pixels,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James",http://www.pixels-movie.com/,Chris Columbus,Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,"Action,Comedy,Science Fiction",224146025.10,PG-13,105 min,5.6,147709.0
